pre_time,knn_time,degree,index_time,refine_time,beam,search_time,QPS,recall
0.0470356,1.89729,32,1.11019,0,10,0.001044,9577076.000000,0.578697
0.0470356,1.89729,32,1.11019,0,20,0.002152,4645873.000000,0.796627
0.0470356,1.89729,32,1.11019,0,30,0.003300,3029979.750000,0.87334
0.0470356,1.89729,32,1.11019,0,40,0.004345,2301585.000000,0.912453
0.0470356,1.89729,32,1.11019,0,50,0.005468,1828768.625000,0.933705
0.0470356,1.89729,32,1.11019,0,60,0.006593,1516872.500000,0.948066
0.0470356,1.89729,32,1.11019,0,70,0.007779,1285458.125000,0.958208
0.0470356,1.89729,32,1.11019,0,80,0.008944,1118088.000000,0.965028
0.0470356,1.89729,32,1.11019,0,90,0.010041,995901.625000,0.969838
0.0470356,1.89729,32,1.11019,0,100,0.010933,914644.000000,0.974269
0.0470356,1.89729,32,1.11019,0,110,0.011952,836695.812500,0.977379
0.0470356,1.89729,32,1.11019,0,120,0.012961,771572.562500,0.979729
0.0470356,1.89729,32,1.11019,0,130,0.016030,623842.187500,0.981499
0.0470356,1.89729,32,1.11019,0,140,0.017171,582361.812500,0.982949
0.0470356,1.89729,32,1.11019,0,150,0.018388,543831.937500,0.98442
0.0470356,1.89729,32,1.11019,0,160,0.018736,533728.187500,0.98492
0.0470356,1.89729,32,1.11019,0,170,0.021348,468438.468750,0.986799
0.0470356,1.89729,32,1.11019,0,180,0.022503,444393.875000,0.987749
0.0470356,1.89729,32,1.11019,0,190,0.023098,432931.000000,0.988349
0.0470356,1.89729,32,1.11019,0,200,0.027353,365592.843750,0.98933
0.0470356,1.89729,32,1.11019,0,210,0.028629,349296.281250,0.98998
