pre_time,knn_time,degree,index_time,refine_time,beam,search_time,QPS,recall
0.0670681,1.38196,32,1.09542,0,10,0.001039,9621602.000000,0.558197
0.0670681,1.38196,32,1.09542,0,20,0.002120,4717835.500000,0.739851
0.0670681,1.38196,32,1.09542,0,30,0.003244,3082462.000000,0.807878
0.0670681,1.38196,32,1.09542,0,40,0.004239,2358846.750000,0.848848
0.0670681,1.38196,32,1.09542,0,50,0.005344,1871257.625000,0.876199
0.0670681,1.38196,32,1.09542,0,60,0.006444,1551823.375000,0.895022
0.0670681,1.38196,32,1.09542,0,70,0.007596,1316476.750000,0.909734
0.0670681,1.38196,32,1.09542,0,80,0.008719,1146864.750000,0.921374
0.0670681,1.38196,32,1.09542,0,90,0.009826,1017676.625000,0.930745
0.0670681,1.38196,32,1.09542,0,100,0.010613,942264.125000,0.938436
0.0670681,1.38196,32,1.09542,0,110,0.011601,862002.375000,0.944556
0.0670681,1.38196,32,1.09542,0,120,0.012594,794023.875000,0.949696
0.0670681,1.38196,32,1.09542,0,130,0.015791,633260.312500,0.953736
0.0670681,1.38196,32,1.09542,0,140,0.016954,589818.500000,0.957307
0.0670681,1.38196,32,1.09542,0,150,0.018111,552135.750000,0.960437
0.0670681,1.38196,32,1.09542,0,160,0.018469,541451.812500,0.961937
0.0670681,1.38196,32,1.09542,0,170,0.020979,476674.250000,0.965797
0.0670681,1.38196,32,1.09542,0,180,0.022204,450368.000000,0.967927
0.0670681,1.38196,32,1.09542,0,190,0.022835,437920.437500,0.969278
0.0670681,1.38196,32,1.09542,0,200,0.027037,369857.062500,0.971848
0.0670681,1.38196,32,1.09542,0,210,0.028343,352816.718750,0.973618
