pre_time,knn_time,degree,index_time,refine_time,beam,search_time,QPS,recall
0.00776896,1.68409,32,1.08352,0,10,0.000719,13911147.000000,0.171236
0.00776896,1.68409,32,1.08352,0,20,0.001555,6432820.500000,0.311341
0.00776896,1.68409,32,1.08352,0,30,0.002589,3862889.000000,0.413392
0.00776896,1.68409,32,1.08352,0,40,0.003659,2733172.500000,0.492051
0.00776896,1.68409,32,1.08352,0,50,0.004762,2100134.500000,0.556109
0.00776896,1.68409,32,1.08352,0,60,0.005876,1701949.250000,0.607279
0.00776896,1.68409,32,1.08352,0,70,0.007272,1375052.875000,0.650208
0.00776896,1.68409,32,1.08352,0,80,0.008398,1190807.375000,0.685725
0.00776896,1.68409,32,1.08352,0,90,0.009554,1046690.812500,0.717611
0.00776896,1.68409,32,1.08352,0,100,0.010388,962604.687500,0.74319
0.00776896,1.68409,32,1.08352,0,110,0.011439,874194.375000,0.764398
0.00776896,1.68409,32,1.08352,0,120,0.012497,800204.812500,0.783856
0.00776896,1.68409,32,1.08352,0,130,0.015944,627207.750000,0.801192
0.00776896,1.68409,32,1.08352,0,140,0.017115,584278.187500,0.816801
0.00776896,1.68409,32,1.08352,0,150,0.018261,547615.375000,0.831521
0.00776896,1.68409,32,1.08352,0,160,0.018973,527077.437500,0.840892
0.00776896,1.68409,32,1.08352,0,170,0.021194,471837.718750,0.854923
0.00776896,1.68409,32,1.08352,0,180,0.022486,444725.937500,0.865274
0.00776896,1.68409,32,1.08352,0,190,0.023363,428035.281250,0.873315
0.00776896,1.68409,32,1.08352,0,200,0.027428,364593.062500,0.883486
0.00776896,1.68409,32,1.08352,0,210,0.028679,348685.156250,0.891347
