pre_time,knn_time,degree,index_time,refine_time,beam,search_time,QPS,recall
0.00754157,1.88387,32,1.07516,0,10,0.000720,13887655.000000,0.0492506
0.00754157,1.88387,32,1.07516,0,20,0.001657,6035615.000000,0.211607
0.00754157,1.88387,32,1.07516,0,30,0.002655,3766285.250000,0.315912
0.00754157,1.88387,32,1.07516,0,40,0.003647,2741612.750000,0.391402
0.00754157,1.88387,32,1.07516,0,50,0.004728,2115188.000000,0.449573
0.00754157,1.88387,32,1.07516,0,60,0.005805,1722674.250000,0.493602
0.00754157,1.88387,32,1.07516,0,70,0.007066,1415141.375000,0.529702
0.00754157,1.88387,32,1.07516,0,80,0.008156,1226096.000000,0.560212
0.00754157,1.88387,32,1.07516,0,90,0.009247,1081464.500000,0.58798
0.00754157,1.88387,32,1.07516,0,100,0.010075,992564.562500,0.611478
0.00754157,1.88387,32,1.07516,0,110,0.011093,901472.625000,0.631178
0.00754157,1.88387,32,1.07516,0,120,0.012055,829502.125000,0.648185
0.00754157,1.88387,32,1.07516,0,130,0.015681,637734.250000,0.665654
0.00754157,1.88387,32,1.07516,0,140,0.016826,594305.312500,0.680243
0.00754157,1.88387,32,1.07516,0,150,0.018020,554928.187500,0.692941
0.00754157,1.88387,32,1.07516,0,160,0.019124,522898.750000,0.70498
0.00754157,1.88387,32,1.07516,0,170,0.020994,476325.500000,0.715888
0.00754157,1.88387,32,1.07516,0,180,0.022205,450340.093750,0.727078
0.00754157,1.88387,32,1.07516,0,190,0.023360,428076.906250,0.736678
0.00754157,1.88387,32,1.07516,0,200,0.027142,368435.062500,0.745619
0.00754157,1.88387,32,1.07516,0,210,0.028446,351547.031250,0.754307
