recall,degree,build_time,itopk_size,search_time,QPS
0.786613,80,21.882221,60,0.034212,292297.000000
0.795592,80,21.882221,65,0.036687,272577.250000
0.805292,80,21.882221,70,0.039761,251503.390625
0.812001,80,21.882221,75,0.042475,235430.796875
0.820191,80,21.882221,80,0.045704,218798.296875
0.826181,80,21.882221,85,0.048433,206470.156250
0.832442,80,21.882221,90,0.051301,194926.546875
0.835111,80,21.882221,95,0.052415,190783.296875
0.843472,80,21.882221,100,0.057329,174433.171875
0.847052,80,21.882221,105,0.059996,166678.390625
0.850672,80,21.882221,110,0.062723,159430.968750
0.854562,80,21.882221,115,0.065402,152900.875000
0.857852,80,21.882221,120,0.068056,146937.687500
0.859582,80,21.882221,125,0.069163,144586.093750
0.863972,80,21.882221,130,0.073199,136614.640625
0.867073,80,21.882221,135,0.075743,132024.984375
0.870043,80,21.882221,140,0.078319,127683.609375
0.872664,80,21.882221,145,0.081027,123415.593750
0.875164,80,21.882221,150,0.083884,119212.468750
0.876964,80,21.882221,155,0.085332,117189.585938
0.877924,80,21.882221,160,0.085946,116351.632812
0.881903,80,21.882221,165,0.089713,111467.007812
0.884264,80,21.882221,170,0.092300,108342.218750
0.886484,80,21.882221,175,0.095054,105203.632812
0.888254,80,21.882221,180,0.097583,102476.750000
0.889774,80,21.882221,185,0.099822,100178.007812
0.890614,80,21.882221,190,0.100532,99470.687500
0.893585,80,21.882221,195,0.105153,95099.179688
0.895055,80,21.882221,200,0.107893,92684.648438
0.896786,80,21.882221,205,0.110516,90484.445312
0.898376,80,21.882221,210,0.113218,88325.492188
0.899566,80,21.882221,215,0.115988,86216.078125
0.900256,80,21.882221,220,0.116819,85602.546875
0.902216,80,21.882221,225,0.120366,83080.062500
0.903536,80,21.882221,230,0.122956,81330.062500
0.904776,80,21.882221,235,0.125719,79542.765625
0.906096,80,21.882221,240,0.128225,77987.742188
0.907386,80,21.882221,245,0.130991,76341.148438
0.908386,80,21.882221,250,0.132639,75392.765625
0.908866,80,21.882221,255,0.133256,75043.414062
