recall,degree,build_time,itopk_size,search_time,QPS
0.824144,48,4.500109,60,0.018476,540746.187500
0.831260,48,4.500109,65,0.019225,519699.343750
0.838027,48,4.500109,70,0.020888,478323.906250
0.843221,48,4.500109,75,0.022234,449351.343750
0.848336,48,4.500109,80,0.023999,416302.218750
0.852890,48,4.500109,85,0.025473,392218.843750
0.857324,48,4.500109,90,0.026968,370479.625000
0.859846,48,4.500109,95,0.027762,359885.187500
0.864630,48,4.500109,100,0.030076,332191.781250
0.867023,48,4.500109,105,0.031527,316902.875000
0.869535,48,4.500109,110,0.033021,302568.906250
0.872318,48,4.500109,115,0.034457,289958.343750
0.874389,48,4.500109,120,0.035804,279046.281250
0.876431,48,4.500109,125,0.036551,273346.656250
0.879094,48,4.500109,130,0.038233,261315.953125
0.880976,48,4.500109,135,0.039638,252056.000000
0.882898,48,4.500109,140,0.041089,243156.296875
0.884919,48,4.500109,145,0.042570,234697.281250
0.886772,48,4.500109,150,0.043970,227221.546875
0.888183,48,4.500109,155,0.045138,221343.828125
0.889214,48,4.500109,160,0.045498,219591.984375
0.891977,48,4.500109,165,0.048271,206975.859375
0.893388,48,4.500109,170,0.049754,200807.515625
0.894609,48,4.500109,175,0.051194,195160.140625
0.896020,48,4.500109,180,0.052740,189438.406250
0.897342,48,4.500109,185,0.054032,184907.640625
0.898362,48,4.500109,190,0.054402,183650.421875
0.899684,48,4.500109,195,0.054015,184967.453125
0.900885,48,4.500109,200,0.055543,179878.421875
0.902276,48,4.500109,205,0.056874,175669.671875
0.903527,48,4.500109,210,0.058345,171239.218750
0.904658,48,4.500109,215,0.059675,167422.359375
0.905519,48,4.500109,220,0.060476,165205.078125
0.907051,48,4.500109,225,0.062226,160558.703125
0.908111,48,4.500109,230,0.063671,156915.281250
0.909122,48,4.500109,235,0.064979,153757.796875
0.909823,48,4.500109,240,0.066419,150422.937500
0.910483,48,4.500109,245,0.067956,147022.234375
0.911164,48,4.500109,250,0.068848,145115.765625
0.911614,48,4.500109,255,0.069275,144223.343750
