recall,degree,build_time,itopk_size,search_time,QPS
0.861010,28,71.860336,40,0.005411,1848150.000000
0.880050,28,71.860336,45,0.006048,1653509.125000
0.897162,28,71.860336,50,0.006810,1468487.375000
0.909882,28,71.860336,55,0.007443,1343462.000000
0.921783,28,71.860336,60,0.008205,1218722.750000
0.930253,28,71.860336,65,0.008831,1132386.000000
0.938214,28,71.860336,70,0.009510,1051537.125000
0.944315,28,71.860336,75,0.010140,986218.187500
0.950436,28,71.860336,80,0.010898,917576.687500
0.954506,28,71.860336,85,0.011523,867824.062500
0.959046,28,71.860336,90,0.012284,814073.437500
0.960575,28,71.860336,95,0.012552,796673.625000
0.965526,28,71.860336,100,0.013519,739709.750000
