degree,build_time,tau,search_time,QPS,recall
80,301.567200,0.25,0.011182,89430.587801,0.801400
80,301.567200,0.26,0.012646,79074.088143,0.817100
80,301.567200,0.27,0.014292,69971.407396,0.831700
80,301.567200,0.28,0.015881,62969.116836,0.846000
80,301.567200,0.29,0.017262,57931.738061,0.860000
80,301.567200,0.3,0.019420,51493.390380,0.874800
80,301.567200,0.31,0.023551,42460.796335,0.886300
80,301.567200,0.32,0.026402,37875.346181,0.898100
80,301.567200,0.33,0.029564,33825.432912,0.907700
80,301.567200,0.34,0.032997,30305.647633,0.919100
80,301.567200,0.35,0.038162,26204.419801,0.929000
80,301.567200,0.36,0.042473,23544.231259,0.936500
