degree,build_time,tau,search_time,QPS,recall
56,2230.476074,0.000000,0.465635,21476.066489,0.848270
56,2230.476074,0.010000,0.026758,373713.079064,0.863880
56,2230.476074,0.020000,0.026730,374113.056964,0.864290
56,2230.476074,0.030000,0.026843,372535.159358,0.864990
56,2230.476074,0.040000,0.026912,371577.468802,0.866050
56,2230.476074,0.050000,0.027016,370145.324168,0.867430
56,2230.476074,0.060000,0.027278,366591.696828,0.868670
56,2230.476074,0.070000,0.027374,365315.063166,0.870630
56,2230.476074,0.080000,0.027778,360001.060984,0.872690
56,2230.476074,0.090000,0.027875,358741.403792,0.875290
56,2230.476074,0.100000,0.028076,356178.531192,0.877920
56,2230.476074,0.110000,0.028330,352976.916445,0.880870
56,2230.476074,0.120000,0.028572,349998.487824,0.883720
56,2230.476074,0.130000,0.028887,346174.853476,0.886840
56,2230.476074,0.140000,0.029277,341561.039118,0.890300
56,2230.476074,0.150000,0.029686,336860.398047,0.893730
56,2230.476074,0.160000,0.030432,328599.401179,0.897540
56,2230.476074,0.170000,0.030845,324198.372358,0.901220
56,2230.476074,0.180000,0.031189,320625.611547,0.905130
56,2230.476074,0.190000,0.031884,313635.992033,0.908900
56,2230.476074,0.200000,0.032900,303951.659330,0.913050
56,2230.476074,0.210000,0.033715,296606.345305,0.917200
56,2230.476074,0.220000,0.034737,287878.078396,0.921300
56,2230.476074,0.230000,0.036088,277103.616493,0.925930
56,2230.476074,0.240000,0.038048,262823.475040,0.930230
56,2230.476074,0.250000,0.039260,254715.083931,0.934240
56,2230.476074,0.260000,0.040582,246413.595415,0.938460
56,2230.476074,0.270000,0.041934,238467.883430,0.943070
56,2230.476074,0.280000,0.043322,230828.831438,0.947370
56,2230.476074,0.290000,0.047116,212240.109069,0.951400
56,2230.476074,0.300000,0.049352,202627.480689,0.955450
56,2230.476074,0.310000,0.052963,188811.828209,0.959130
56,2230.476074,0.320000,0.055875,178972.326119,0.962970
56,2230.476074,0.330000,0.059991,166692.270497,0.966550
56,2230.476074,0.340000,0.065120,153562.576320,0.969870
56,2230.476074,0.350000,0.071295,140261.832365,0.973200
