pre_time,knn_time,degree,index_time,refine_time,beam,search_time,QPS,recall
0.115674,1.41199,96,7.07648,0,90,0.020984,47655.792969,0.877701
0.115674,1.41199,96,7.07648,0,95,0.021076,47447.257812,0.878201
0.115674,1.41199,96,7.07648,0,100,0.023075,43337.292969,0.888101
0.115674,1.41199,96,7.07648,0,105,0.024114,41469.765625,0.891901
0.115674,1.41199,96,7.07648,0,110,0.025060,39903.667969,0.895201
0.115674,1.41199,96,7.07648,0,115,0.025906,38600.785156,0.897301
0.115674,1.41199,96,7.07648,0,120,0.026997,37041.511719,0.900601
0.115674,1.41199,96,7.07648,0,125,0.027280,36656.460938,0.901401
0.115674,1.41199,96,7.07648,0,130,0.028782,34744.457031,0.906201
0.115674,1.41199,96,7.07648,0,135,0.029657,33718.750000,0.908601
0.115674,1.41199,96,7.07648,0,140,0.030634,32643.380859,0.911001
0.115674,1.41199,96,7.07648,0,145,0.031681,31565.082031,0.913201
0.115674,1.41199,96,7.07648,0,150,0.032712,30570.119141,0.916201
