data,pre_time,knn_time,degree,index_time,beam,search_time,QPS,recall
10000000,0.287978,48.6515,64,21.7349,50,0.049946,200215.125000,0.97811
10000000,0.287978,48.6515,64,21.7349,100,0.117501,85105.570312,0.993001
25000000,1.99148,157.011,64,58.5213,65,0.080996,123463.617188,0.978948
25000000,1.99148,157.011,64,58.5213,100,0.128228,77986.242188,0.989339
50000000,2.43634,320.946,64,122.711,80,0.107401,93109.148438,0.978078
50000000,2.43634,320.946,64,122.711,100,0.132687,75365.414062,0.983909
75000000,4.13173,404.491,64,187.519,90,0.122324,84513.429688,0.978527
75000000,4.13173,404.491,64,187.519,100,0.136214,73413.687500,0.981428
100000000,4.56464,527.681,64,256.65,100,0.136103,73473.617188,0.978527
100000000,4.56464,527.681,64,256.65,150,0.290526,34420.296875,0.987009
