preprocess_time,degree,beam,search_time,QPS,recall
1.25091,96,10,0.002982,335358.000000,0.5562
1.25091,96,20,0.005954,167948.453125,0.7479
1.25091,96,30,0.008938,111878.851562,0.830801
1.25091,96,40,0.011565,86464.500000,0.873801
1.25091,96,50,0.014450,69205.757812,0.900601
1.25091,96,60,0.017396,57485.429688,0.917301
1.25091,96,70,0.019810,50478.781250,0.930401
1.25091,96,80,0.022580,44286.164062,0.940701
1.25091,96,90,0.025286,39548.152344,0.948301
1.25091,96,100,0.028045,35656.785156,0.954301
1.25091,96,110,0.030476,32812.394531,0.959001
1.25091,96,120,0.033076,30233.460938,0.962301
1.25091,96,130,0.034968,28597.888672,0.965101
1.25091,96,140,0.037379,26752.939453,0.967201
1.25091,96,150,0.039995,25003.380859,0.969201
1.25091,96,160,0.040547,24662.537109,0.969201
1.25091,96,170,0.043875,22791.851562,0.973001
1.25091,96,180,0.046387,21557.671875,0.975201
1.25091,96,190,0.047228,21173.923828,0.975701
1.25091,96,200,0.050863,19660.615234,0.977901
1.25091,96,210,0.053057,18847.486328,0.979101
1.25091,96,220,0.054536,18336.447266,0.979801
1.25091,96,230,0.057609,17358.373047,0.980701
1.25091,96,240,0.060257,16595.505859,0.981601
1.25091,96,250,0.062085,16106.918945,0.982701
1.25091,96,260,0.064582,15484.278320,0.983201
1.25091,96,270,0.066958,14934.638672,0.983701
1.25091,96,280,0.069229,14444.748047,0.9843
1.25091,96,290,0.071152,14054.337891,0.985101
1.25091,96,300,0.073636,13580.343750,0.985801
1.25091,96,310,0.076003,13157.318359,0.986201
1.25091,96,320,0.076107,13139.439453,0.986201
1.25091,96,330,0.080862,12366.715820,0.9867
1.25091,96,340,0.083157,12025.452148,0.987101
1.25091,96,350,0.083762,11938.562500,0.9872
1.25091,96,360,0.087028,11490.580078,0.987701
1.25091,96,370,0.089321,11195.532227,0.9879
1.25091,96,380,0.090876,11004.017578,0.9879
1.25091,96,390,0.093649,10678.201172,0.9882
1.25091,96,400,0.095907,10426.752930,0.988501
1.25091,96,410,0.097580,10247.998047,0.988701
1.25091,96,420,0.097717,10233.638672,0.9892
1.25091,96,430,0.100108,9989.182617,0.9896
1.25091,96,440,0.102132,9791.269531,0.9897
1.25091,96,450,0.104144,9602.101562,0.9901
1.25091,96,460,0.106321,9405.495117,0.9903
1.25091,96,470,0.108622,9206.252930,0.9904
1.25091,96,480,0.108948,9178.650391,0.9905
1.25091,96,490,0.112515,8887.708008,0.9907
1.25091,96,500,0.114885,8704.326172,0.9909
