preprocess_time,degree,beam,search_time,QPS,recall
0.0850176,128,10,0.008017,1247355.625000,0.514009
0.0850176,128,20,0.016197,617383.937500,0.686127
0.0850176,128,30,0.024353,410619.625000,0.756063
0.0850176,128,40,0.031985,312650.093750,0.794992
0.0850176,128,50,0.039962,250238.843750,0.820272
0.0850176,128,60,0.047935,208613.703125,0.839013
0.0850176,128,70,0.056418,177247.437500,0.853254
0.0850176,128,80,0.064589,154825.609375,0.863994
0.0850176,128,90,0.072221,138464.703125,0.872725
0.0850176,128,100,0.079859,125221.187500,0.880235
0.0850176,128,110,0.087226,114645.164062,0.886025
0.0850176,128,120,0.094328,106013.273438,0.890615
0.0850176,128,130,0.104427,95760.484375,0.895165
0.0850176,128,140,0.112190,89134.671875,0.899105
0.0850176,128,150,0.119629,83591.843750,0.903076
0.0850176,128,160,0.122475,81649.507812,0.904906
0.0850176,128,170,0.133519,74895.500000,0.909815
0.0850176,128,180,0.141092,70875.820312,0.912716
0.0850176,128,190,0.145420,68766.531250,0.914356
0.0850176,128,200,0.155225,64422.640625,0.917756
0.0850176,128,210,0.162486,61543.718750,0.920076
0.0850176,128,220,0.167998,59524.355469,0.921805
0.0850176,128,230,0.176450,56673.425781,0.924005
0.0850176,128,240,0.184025,54340.464844,0.925976
0.0850176,128,250,0.190195,52577.707031,0.927726
0.0850176,128,260,0.195932,51038.074219,0.929696
0.0850176,128,270,0.203588,49118.906250,0.931386
0.0850176,128,280,0.210415,47525.218750,0.933076
0.0850176,128,290,0.217752,45923.894531,0.934616
0.0850176,128,300,0.224892,44465.808594,0.936026
0.0850176,128,310,0.232015,43100.691406,0.937556
0.0850176,128,320,0.234805,42588.550781,0.938176
0.0850176,128,330,0.246090,40635.605469,0.940337
0.0850176,128,340,0.253575,39436.035156,0.941467
0.0850176,128,350,0.257192,38881.468750,0.942147
0.0850176,128,360,0.267528,37379.234375,0.943677
0.0850176,128,370,0.274996,36364.136719,0.944656
0.0850176,128,380,0.279885,35728.988281,0.945357
0.0850176,128,390,0.283750,35242.328125,0.946496
0.0850176,128,400,0.290890,34377.285156,0.947477
0.0850176,128,410,0.296885,33683.023438,0.948246
0.0850176,128,420,0.304028,32891.750000,0.949157
0.0850176,128,430,0.311809,32070.880859,0.950117
0.0850176,128,440,0.318666,31380.771484,0.950907
0.0850176,128,450,0.324916,30777.162109,0.951587
0.0850176,128,460,0.332330,30090.574219,0.952307
0.0850176,128,470,0.339602,29446.199219,0.953048
0.0850176,128,480,0.341411,29290.236328,0.953378
0.0850176,128,490,0.352650,28356.708984,0.954588
0.0850176,128,500,0.360223,27760.603516,0.955298
