preprocess_time,degree,beam,search_time,QPS,recall
0.0330145,72,10,0.004545,2198476.000000,0.639278
0.0330145,72,20,0.009216,1084104.125000,0.780513
0.0330145,72,30,0.013857,721014.500000,0.828156
0.0330145,72,40,0.017580,568315.250000,0.85261
0.0330145,72,50,0.022066,452774.406250,0.867743
0.0330145,72,60,0.026456,377647.281250,0.878803
0.0330145,72,70,0.029993,333111.500000,0.886781
0.0330145,72,80,0.034444,290062.625000,0.894117
0.0330145,72,90,0.038580,258966.250000,0.899642
0.0330145,72,100,0.042805,233405.968750,0.904077
0.0330145,72,110,0.046764,213647.109375,0.907861
0.0330145,72,120,0.050687,197111.765625,0.911214
0.0330145,72,130,0.053905,185344.500000,0.914367
0.0330145,72,140,0.057843,172727.390625,0.9171
0.0330145,72,150,0.061920,161352.687500,0.919702
0.0330145,72,160,0.063448,157468.000000,0.921063
0.0330145,72,170,0.068262,146363.312500,0.923936
0.0330145,72,180,0.072229,138324.500000,0.925848
0.0330145,72,190,0.074355,134368.015625,0.927079
0.0330145,72,200,0.079373,125873.539062,0.92931
0.0330145,72,210,0.083414,119776.031250,0.930632
0.0330145,72,220,0.086201,115903.921875,0.931964
0.0330145,72,230,0.090796,110038.039062,0.933595
0.0330145,72,240,0.094891,105289.429688,0.934937
0.0330145,72,250,0.098167,101775.765625,0.935757
0.0330145,72,260,0.100252,99658.578125,0.936919
0.0330145,72,270,0.104174,95906.601562,0.93819
0.0330145,72,280,0.107890,92603.156250,0.939221
0.0330145,72,290,0.111557,89559.242188,0.940472
0.0330145,72,300,0.115493,86507.554688,0.941433
0.0330145,72,310,0.119472,83626.039062,0.942084
0.0330145,72,320,0.120855,82669.640625,0.942465
0.0330145,72,330,0.126869,78750.367188,0.943906
0.0330145,72,340,0.130887,76333.218750,0.944837
0.0330145,72,350,0.132706,75286.554688,0.945337
0.0330145,72,360,0.139043,71855.632812,0.946699
0.0330145,72,370,0.143170,69784.398438,0.947489
0.0330145,72,380,0.145850,68501.757812,0.948
0.0330145,72,390,0.151154,66098.351562,0.948781
0.0330145,72,400,0.155278,64342.589844,0.949651
0.0330145,72,410,0.158432,63061.753906,0.950132
0.0330145,72,420,0.158564,63009.109375,0.950972
0.0330145,72,430,0.162438,61506.492188,0.951723
0.0330145,72,440,0.166170,60125.210938,0.952534
0.0330145,72,450,0.169931,58794.535156,0.953385
0.0330145,72,460,0.173947,57437.074219,0.953915
0.0330145,72,470,0.177892,56163.183594,0.954315
0.0330145,72,480,0.178831,55868.277344,0.954546
0.0330145,72,490,0.185138,53965.023438,0.955437
0.0330145,72,500,0.189116,52829.972656,0.955787
