preprocess_time,degree,beam,search_time,QPS,recall
0.173269,56,10,0.001725,5797989.000000,0.72807
0.173269,56,20,0.003636,2750372.000000,0.904091
0.173269,56,30,0.005524,1810187.875000,0.950846
0.173269,56,40,0.007238,1381667.375000,0.968848
0.173269,56,50,0.009107,1098001.375000,0.979059
0.173269,56,60,0.011010,908271.750000,0.98499
0.173269,56,70,0.012674,789013.875000,0.98839
0.173269,56,80,0.014562,686704.562500,0.99098
0.173269,56,90,0.016374,610733.250000,0.99266
0.173269,56,100,0.018021,554896.625000,0.99384
0.173269,56,110,0.019659,508661.062500,0.99455
0.173269,56,120,0.021380,467724.718750,0.99525
0.173269,56,130,0.022736,439837.312500,0.9958
0.173269,56,140,0.024391,409993.093750,0.99622
0.173269,56,150,0.026114,382934.687500,0.99652
0.173269,56,160,0.026578,376252.156250,0.99659
0.173269,56,170,0.029200,342461.250000,0.99706
0.173269,56,180,0.030832,324342.375000,0.99727
0.173269,56,190,0.031650,315957.843750,0.99737
0.173269,56,200,0.033326,300065.281250,0.99764
