recall,degree,build_time,itopk_size,search_time,QPS
0.829106,32,7.842050,20,0.001781,5615252.000000
0.904591,32,7.842050,30,0.002707,3693504.250000
0.941485,32,7.842050,40,0.003564,2806214.000000
0.960346,32,7.842050,50,0.004456,2243939.500000
0.971418,32,7.842050,60,0.005380,1858647.625000
0.978199,32,7.842050,70,0.006306,1585779.250000
0.982660,32,7.842050,80,0.007146,1399287.125000
0.986220,32,7.842050,90,0.008039,1243885.125000
0.988750,32,7.842050,100,0.008805,1135690.500000
0.990581,32,7.842050,110,0.009602,1041423.750000
0.991931,32,7.842050,120,0.010425,959224.500000
0.993130,32,7.842050,130,0.011308,884349.687500
0.993970,32,7.842050,140,0.011962,835954.875000
0.994680,32,7.842050,150,0.012792,781758.125000
0.994830,32,7.842050,160,0.012994,769613.437500
0.995870,32,7.842050,170,0.014254,701567.750000
0.996310,32,7.842050,180,0.015080,663110.250000
0.996500,32,7.842050,190,0.015472,646347.562500
0.997030,32,7.842050,200,0.016578,603225.937500
