recall,degree,build_time,itopk_size,search_time,QPS
0.557700,48,12.496101,20,0.003606,277353.718750
0.676600,48,12.496101,30,0.005454,183360.812500
0.758400,48,12.496101,40,0.007324,136543.968750
0.807801,48,12.496101,50,0.009174,109005.789062
0.842501,48,12.496101,60,0.011049,90508.351562
0.868501,48,12.496101,70,0.012847,77838.945312
0.889201,48,12.496101,80,0.014625,68373.859375
0.906402,48,12.496101,90,0.016390,61013.589844
0.920102,48,12.496101,100,0.018257,54773.824219
0.930402,48,12.496101,110,0.019911,50222.421875
0.938202,48,12.496101,120,0.021576,46348.480469
0.943502,48,12.496101,130,0.023224,43058.312500
0.947902,48,12.496101,140,0.024822,40287.230469
0.953602,48,12.496101,150,0.026498,37738.625000
0.955402,48,12.496101,160,0.026975,37071.042969
0.962901,48,12.496101,170,0.029793,33564.617188
0.965701,48,12.496101,180,0.031467,31779.187500
0.967301,48,12.496101,190,0.032174,31080.763672
0.970201,48,12.496101,200,0.034219,29223.523438
0.972501,48,12.496101,210,0.035862,27885.054688
0.973701,48,12.496101,220,0.036896,27103.396484
0.976501,48,12.496101,230,0.039036,25617.441406
0.978701,48,12.496101,240,0.040652,24599.248047
0.980201,48,12.496101,250,0.041964,23830.220703
0.982401,48,12.496101,260,0.045797,21835.357422
0.983501,48,12.496101,270,0.047335,21125.828125
0.984701,48,12.496101,280,0.049015,20402.007812
0.985801,48,12.496101,290,0.050639,19747.685547
0.986201,48,12.496101,300,0.052308,19117.453125
0.986501,48,12.496101,310,0.054076,18492.437500
0.986701,48,12.496101,320,0.054348,18400.017578
0.987501,48,12.496101,330,0.057291,17454.599609
0.988301,48,12.496101,340,0.059154,16904.951172
0.988601,48,12.496101,350,0.059737,16739.964844
0.989401,48,12.496101,360,0.064663,15464.892578
0.989501,48,12.496101,370,0.066967,14932.640625
0.989801,48,12.496101,380,0.067875,14733.003906
0.990201,48,12.496101,390,0.069805,14325.616211
0.990900,48,12.496101,400,0.071643,13958.071289
0.991300,48,12.496101,410,0.072870,13723.131836
0.991500,48,12.496101,420,0.075463,13251.587891
0.992000,48,12.496101,430,0.077512,12901.281250
0.992100,48,12.496101,440,0.078716,12703.964844
0.992400,48,12.496101,450,0.075051,13324.271484
0.993000,48,12.496101,460,0.076590,13056.520508
0.993200,48,12.496101,470,0.078546,12731.406250
0.993200,48,12.496101,480,0.078617,12719.824219
0.993600,48,12.496101,490,0.081283,12302.630859
0.993800,48,12.496101,500,0.082898,12063.029297
