recall,degree,build_time,itopk_size,search_time,QPS
0.429452,80,22.858339,10,0.024839,402589.968750
0.608057,80,22.858339,20,0.011252,888753.625000
0.687967,80,22.858339,30,0.017219,580765.375000
0.732385,80,22.858339,40,0.022500,444440.625000
0.764383,80,22.858339,50,0.028417,351905.687500
0.787703,80,22.858339,60,0.034234,292104.375000
0.805452,80,22.858339,70,0.039931,250432.750000
0.820531,80,22.858339,80,0.045736,218646.765625
0.832702,80,22.858339,90,0.051351,194739.843750
0.843312,80,22.858339,100,0.057299,174523.578125
0.851222,80,22.858339,110,0.062669,159569.031250
0.858252,80,22.858339,120,0.067977,147108.109375
0.864222,80,22.858339,130,0.073291,136442.734375
0.870473,80,22.858339,140,0.078341,127646.890625
0.875383,80,22.858339,150,0.083756,119394.375000
0.877793,80,22.858339,160,0.085891,116426.921875
0.884424,80,22.858339,170,0.092186,108476.843750
0.888843,80,22.858339,180,0.097575,102485.359375
0.891104,80,22.858339,190,0.100381,99620.867188
0.895504,80,22.858339,200,0.107764,92795.617188
0.898684,80,22.858339,210,0.113094,88422.210938
0.901024,80,22.858339,220,0.116698,85691.164062
0.904624,80,22.858339,230,0.122891,81372.773438
0.907264,80,22.858339,240,0.128179,78015.875000
0.909725,80,22.858339,250,0.132612,75407.828125
0.912345,80,22.858339,260,0.143041,69910.265625
0.914785,80,22.858339,270,0.148081,67530.765625
0.916705,80,22.858339,280,0.153461,65163.246094
0.918616,80,22.858339,290,0.158311,63166.640625
0.920477,80,22.858339,300,0.163714,61082.195312
0.922227,80,22.858339,310,0.169177,59109.664062
0.922996,80,22.858339,320,0.170792,58550.726562
0.925617,80,22.858339,330,0.178997,55866.851562
0.927176,80,22.858339,340,0.184547,54186.613281
0.927946,80,22.858339,350,0.187725,53269.468750
0.929976,80,22.858339,360,0.194832,51326.167969
0.931337,80,22.858339,370,0.200453,49887.039062
0.932237,80,22.858339,380,0.203607,49114.214844
0.933737,80,22.858339,390,0.210168,47581.019531
0.935047,80,22.858339,400,0.215526,46398.027344
0.936077,80,22.858339,410,0.219976,45459.406250
0.937417,80,22.858339,420,0.219440,45570.464844
0.938677,80,22.858339,430,0.224863,44471.496094
0.939687,80,22.858339,440,0.229690,43536.925781
0.940847,80,22.858339,450,0.234874,42576.042969
0.941787,80,22.858339,460,0.240189,41633.960938
0.942807,80,22.858339,470,0.245666,40705.742188
0.943217,80,22.858339,480,0.246764,40524.496094
0.944707,80,22.858339,490,0.255338,39163.824219
0.945617,80,22.858339,500,0.260679,38361.406250
