recall,degree,build_time,itopk_size,search_time,QPS
0.541945,64,5.508399,10,0.022148,451106.906250
0.702998,64,5.508399,20,0.008492,1176554.500000
0.774149,64,5.508399,30,0.013086,763466.250000
0.809631,64,5.508399,40,0.017169,581907.062500
0.830499,64,5.508399,50,0.021679,460858.531250
0.845483,64,5.508399,60,0.026172,381737.781250
0.857473,64,5.508399,70,0.029170,342513.375000
0.866822,64,5.508399,80,0.033517,298091.593750
0.874359,64,5.508399,90,0.037655,265327.875000
0.881165,64,5.508399,100,0.041532,240559.640625
0.886080,64,5.508399,110,0.045599,219107.031250
0.890605,64,5.508399,120,0.049450,202043.984375
0.895020,64,5.508399,130,0.054441,183519.906250
0.898273,64,5.508399,140,0.058552,170633.718750
0.901396,64,5.508399,150,0.062744,159233.609375
0.903748,64,5.508399,160,0.064643,154556.078125
0.907782,64,5.508399,170,0.070318,142082.953125
0.910635,64,5.508399,180,0.074342,134391.687500
0.912767,64,5.508399,190,0.076679,130296.140625
0.915589,64,5.508399,200,0.076340,130874.640625
0.917902,64,5.508399,210,0.080267,124471.664062
0.919633,64,5.508399,220,0.082969,120418.062500
0.921795,64,5.508399,230,0.087336,114397.351562
0.923687,64,5.508399,240,0.091160,109599.046875
0.925519,64,5.508399,250,0.094348,105894.656250
0.926850,64,5.508399,260,0.103129,96878.882812
0.928311,64,5.508399,270,0.106966,93403.492188
0.929982,64,5.508399,280,0.110642,90300.632812
0.931484,64,5.508399,290,0.112574,88750.140625
0.932845,64,5.508399,300,0.116654,85646.453125
0.934336,64,5.508399,310,0.120699,82776.242188
0.934967,64,5.508399,320,0.121879,81974.804688
0.936769,64,5.508399,330,0.128291,77877.867188
0.938160,64,5.508399,340,0.132485,75412.335938
0.938691,64,5.508399,350,0.134534,74263.671875
0.939972,64,5.508399,360,0.139956,71386.546875
0.940953,64,5.508399,370,0.143755,69500.234375
0.941613,64,5.508399,380,0.146575,68163.250000
0.942975,64,5.508399,390,0.151639,65886.726562
0.943886,64,5.508399,400,0.155536,64235.843750
0.944596,64,5.508399,410,0.158703,62954.230469
0.945607,64,5.508399,420,0.162986,61299.750000
0.946418,64,5.508399,430,0.167100,59790.394531
0.947279,64,5.508399,440,0.170712,58525.445312
0.948119,64,5.508399,450,0.167328,59709.187500
0.948990,64,5.508399,460,0.171106,58390.570312
0.949751,64,5.508399,470,0.174936,57112.292969
0.949901,64,5.508399,480,0.175811,56828.214844
0.951112,64,5.508399,490,0.182094,54867.117188
0.951663,64,5.508399,500,0.185966,53725.000000
