recall,degree,build_time,itopk_size,search_time,QPS
0.445221,32,66.164055,10,0.022745,439655.375000
0.722461,32,66.164055,20,0.003088,3238073.750000
0.830376,32,66.164055,30,0.004692,2131302.000000
0.886061,32,66.164055,40,0.006247,1600659.750000
0.917863,32,66.164055,50,0.007847,1274397.000000
0.938405,32,66.164055,60,0.009465,1056503.500000
0.951836,32,66.164055,70,0.011040,905818.125000
0.961507,32,66.164055,80,0.012570,795523.625000
0.968347,32,66.164055,90,0.014162,706134.937500
0.973678,32,66.164055,100,0.015614,640452.875000
0.977168,32,66.164055,110,0.017031,587158.750000
0.980629,32,66.164055,120,0.018503,540462.937500
0.983209,32,66.164055,130,0.019868,503330.843750
0.985110,32,66.164055,140,0.021277,469994.750000
0.986960,32,66.164055,150,0.022719,440150.781250
0.987620,32,66.164055,160,0.023236,430374.375000
0.989770,32,66.164055,170,0.025387,393903.250000
0.990760,32,66.164055,180,0.026894,371830.375000
0.991240,32,66.164055,190,0.027600,362325.156250
0.992530,32,66.164055,200,0.029508,338886.000000
0.993140,32,66.164055,210,0.030970,322894.625000
0.993600,32,66.164055,220,0.032056,311950.968750
0.994270,32,66.164055,230,0.033187,301324.468750
0.994740,32,66.164055,240,0.034532,289586.437500
0.995200,32,66.164055,250,0.035808,279265.218750
0.995780,32,66.164055,260,0.037785,264658.250000
0.996050,32,66.164055,270,0.039153,255405.187500
0.996410,32,66.164055,280,0.040601,246301.921875
0.996650,32,66.164055,290,0.042561,234959.562500
0.996800,32,66.164055,300,0.044093,226791.093750
