search_time,QPS,recall
0.001683,5941516.626897,0.786760
0.001682,5945133.675168,0.787210
0.001693,5907037.371958,0.788000
0.001702,5874722.464781,0.789290
0.001694,5901682.708282,0.790770
0.001717,5824464.355058,0.792460
0.001719,5816875.372869,0.794600
0.001734,5767704.885176,0.796920
0.001750,5714128.927961,0.799480
0.001760,5682851.466200,0.802360
0.001783,5609607.398939,0.805460
0.001810,5525106.230142,0.809110
0.001837,5442449.549249,0.812910
0.002004,4990497.991585,0.817120
0.002052,4874282.607951,0.821870
0.002086,4794341.602398,0.826980
0.002301,4345770.219014,0.832470
0.002347,4260511.685894,0.837540
0.002383,4196884.428160,0.842980
0.002463,4059390.704917,0.848730
0.002486,4022293.222820,0.853930
0.002549,3923759.624361,0.859310
0.002568,3894372.299930,0.865250
0.002656,3764561.312198,0.871470
0.002727,3667194.561138,0.877570
0.002805,3565153.908742,0.882850
0.002910,3436558.326640,0.888480
0.003007,3325918.656316,0.895170
0.003107,3218596.763558,0.901290
0.003186,3138400.952444,0.907480
0.003374,2963573.980133,0.914020
0.003578,2794545.042976,0.920290
0.003802,2630249.988946,0.926620
0.004033,2479607.767519,0.932420
0.004282,2335400.987869,0.938150
0.004731,2113743.024964,0.943380
0.005088,1965223.333432,0.948600
0.005556,1799855.883038,0.953530
0.005861,1706158.463008,0.958160
0.006730,1485809.870101,0.962300
0.007205,1387834.161506,0.966350
0.007710,1297051.794224,0.970450
0.008468,1180858.307692,0.973930
0.009197,1087353.643111,0.977240
0.010461,955935.148510,0.980020
0.011612,861166.216010,0.982840
0.012453,803005.476259,0.984810
0.013107,762922.693654,0.986980
0.013938,717453.968170,0.988840
0.014382,695298.859371,0.990430
0.015046,664633.429357,0.991760
0.015666,638321.749427,0.992650
0.016409,609407.671098,0.993760
0.017197,581492.683453,0.994500
0.018000,555552.590056,0.995180
0.018919,528569.828556,0.995720
0.020008,499798.461107,0.996150
0.020677,483636.073729,0.996500
0.021690,461036.177629,0.996850
0.022199,450476.388019,0.997060
0.023078,433319.439026,0.997180
0.024075,415375.684297,0.997350
0.024842,402549.547619,0.997560
0.025760,388193.921215,0.997660
0.026542,376757.069402,0.997720
0.027242,367084.344539,0.997770
0.028106,355790.040825,0.997810
0.028826,346905.788103,0.997840
0.029955,333837.907536,0.997890
0.030791,324770.819397,0.997910
0.035689,280197.707442,0.998140
0.039244,254813.314572,0.998180
0.042520,235183.970352,0.998190
0.045031,222068.892489,0.998200
0.047167,212011.751039,0.998200
0.047997,208347.771257,0.998200
0.048906,204475.561657,0.998210
0.049355,202614.862887,0.998210
0.049769,200928.457285,0.998210
0.050266,198943.600787,0.998210
0.050056,199777.264376,0.998210
0.050121,199517.071916,0.998210
0.050242,199037.107955,0.998210
