search_time,QPS,recall
0.004018,248877.077545,0.576300
0.004027,248299.657361,0.578600
0.004086,244744.857441,0.581500
0.004123,242530.089545,0.583600
0.004189,238742.777962,0.587400
0.004318,231610.163746,0.592800
0.004464,224006.298719,0.598100
0.004539,220323.338426,0.603100
0.004616,216636.263179,0.609900
0.004724,211664.935847,0.617600
0.005003,199884.866185,0.626600
0.005383,185758.695584,0.636300
0.005518,181231.899184,0.647200
0.005733,174436.775955,0.657400
0.006270,159490.041507,0.672100
0.006452,154996.075664,0.683700
0.006656,150249.773207,0.695600
0.007021,142421.575717,0.710900
0.007489,133537.878315,0.725500
0.007897,126631.010876,0.741000
0.008615,116075.642005,0.755200
0.009583,104349.274331,0.769500
0.010418,95983.443255,0.788200
0.011281,88647.957395,0.803100
0.012747,78446.828207,0.818100
0.014381,69536.383494,0.833500
0.015949,62699.512917,0.847700
0.017356,57617.281184,0.861500
0.019896,50260.797553,0.875100
0.022821,43818.627901,0.885300
0.025490,39231.095510,0.898000
0.029782,33577.743348,0.907500
0.033663,29705.830061,0.919300
0.038120,26232.970586,0.929000
0.042504,23527.320384,0.937400
0.050501,19801.779387,0.948400
0.057615,17356.550537,0.955600
0.070747,14134.872897,0.962600
0.085006,11763.850938,0.967800
0.102893,9718.810685,0.972500
0.123910,8070.343415,0.976700
0.135736,7367.225119,0.980900
0.147413,6783.646435,0.983900
0.158709,6300.833807,0.986900
0.170736,5857.004288,0.989000
0.182594,5476.637433,0.991000
0.196809,5081.055911,0.992300
0.211309,4732.402407,0.993600
0.228594,4374.573902,0.994100
0.247416,4041.778642,0.994600
0.265812,3762.061898,0.994800
0.285302,3505.054342,0.995000
0.302987,3300.467641,0.995200
0.318942,3135.367081,0.995300
0.335804,2977.931693,0.995500
0.349168,2863.950123,0.995800
0.361126,2769.114953,0.995800
0.371140,2694.404040,0.995800
0.380683,2626.854398,0.995900
0.388935,2571.124303,0.996000
0.395887,2525.974922,0.996000
0.403025,2481.237849,0.996000
0.408149,2450.086143,0.996100
0.412734,2422.869386,0.996100
0.417580,2394.750658,0.996100
0.421342,2373.369656,0.996100
0.425143,2352.148079,0.996100
0.428523,2333.597657,0.996100
0.431397,2318.047753,0.996100
0.433834,2305.027601,0.996100
0.436037,2293.383339,0.996100
0.438245,2281.830838,0.996100
0.440177,2271.814494,0.996100
0.442675,2258.993494,0.996100
0.445050,2246.939443,0.996100
0.446822,2238.026091,0.996100
0.448170,2231.295980,0.996100
0.449454,2224.921894,0.996100
0.450786,2218.346949,0.996100
0.451756,2213.585636,0.996100
0.453022,2207.398446,0.996100
0.453242,2206.324813,0.996100
0.454103,2202.143889,0.996100
0.454919,2198.193186,0.996100
0.455472,2195.526834,0.996100
0.456293,2191.573907,0.996100
0.457028,2188.051880,0.996100
0.457474,2185.914615,0.996100
0.458218,2182.369151,0.996100
0.458773,2179.725166,0.996100
0.459487,2176.338625,0.996100
0.459639,2175.621783,0.996100
0.460185,2173.039567,0.996100
0.460596,2171.101761,0.996100
0.460861,2169.850677,0.996100
0.461476,2166.961756,0.996100
0.461706,2165.880254,0.996100
0.462420,2162.535588,0.996100
0.462320,2163.001749,0.996100
