search_time,QPS,recall
0.006176,1619238.134174,0.418990
0.007136,1401326.482584,0.467320
0.008517,1174088.079528,0.517650
0.010292,971634.503020,0.565730
0.012414,805530.708302,0.612380
0.014476,690781.792738,0.654860
0.017521,570751.278652,0.691430
0.021298,469528.709839,0.723590
0.025741,388484.934485,0.751810
0.029896,334488.256951,0.776050
0.036620,273076.972611,0.798320
0.047585,210149.174463,0.818220
0.060038,166561.673041,0.836500
0.080695,123923.307329,0.854140
0.091802,108929.963714,0.870790
0.116606,85759.178375,0.885780
0.142108,70368.841311,0.901130
0.174082,57444.356525,0.912920
0.208767,47900.353017,0.921720
0.237152,42167.010074,0.928530
0.257943,38768.290179,0.933860
0.286821,34864.964165,0.938130
0.311423,32110.675040,0.940880
0.334080,29932.975939,0.942970
0.357447,27976.140630,0.944640
0.381508,26211.801346,0.945910
0.394060,25376.875863,0.947030
0.417626,23944.864580,0.947850
0.435891,22941.538596,0.948650
0.448692,22287.013774,0.949220
0.459451,21765.092974,0.949580
0.475476,21031.534799,0.950020
0.488769,20459.574142,0.950460
0.497604,20096.314212,0.950620
0.514549,19434.492171,0.950790
0.520747,19203.198287,0.950970
0.534670,18703.115031,0.951170
0.546926,18284.020406,0.951300
0.555864,17990.018494,0.951430
0.567687,17615.343473,0.951640
0.573537,17435.674238,0.951740
0.582206,17176.063078,0.951820
0.593086,16860.962716,0.951860
0.598285,16714.441572,0.951970
0.612268,16332.708278,0.952010
0.622098,16074.637017,0.952110
0.623655,16034.513375,0.952160
0.627069,15947.206936,0.952190
0.638103,15671.452421,0.952250
0.643102,15549.640316,0.952290
0.649473,15397.109911,0.952290
0.657215,15215.729181,0.952330
0.660343,15143.635675,0.952350
0.666643,15000.523943,0.952350
0.671469,14892.712953,0.952370
0.673780,14841.632610,0.952380
0.678906,14729.576551,0.952380
0.685721,14583.194764,0.952400
0.686950,14557.098370,0.952430
0.691556,14460.137954,0.952450
0.694137,14406.369806,0.952460
0.699656,14292.728207,0.952470
0.705741,14169.505542,0.952480
0.707444,14135.387074,0.952480
0.712969,14025.858679,0.952480
0.717414,13938.952544,0.952490
0.717928,13928.982779,0.952500
0.723010,13831.058153,0.952540
0.722447,13841.851968,0.952570
0.722848,13834.168249,0.952590
0.731046,13679.036073,0.952590
0.732768,13646.890819,0.952600
0.733803,13627.636234,0.952600
0.742844,13461.768252,0.952610
0.742060,13475.998060,0.952610
0.742216,13473.169168,0.952610
0.742150,13474.356206,0.952630
0.743894,13442.777947,0.952660
0.751255,13311.055698,0.952680
0.750254,13328.819744,0.952680
0.752542,13288.292434,0.952690
0.756050,13226.633400,0.952690
0.755399,13238.039404,0.952690
0.760819,13143.722091,0.952710
0.763623,13095.464213,0.952730
0.760734,13145.193718,0.952730
0.758967,13175.812012,0.952730
0.763245,13101.954100,0.952730
0.768140,13018.457851,0.952740
0.763027,13105.695917,0.952750
0.766564,13045.220932,0.952750
0.765161,13069.144285,0.952750
0.769239,12999.864788,0.952750
0.768000,13020.829178,0.952750
0.770207,12983.515783,0.952750
0.774807,12906.447271,0.952760
0.770681,12975.540837,0.952770
0.778706,12841.815849,0.952780
0.781100,12802.462388,0.952800
0.775873,12888.704241,0.952800
