search_time,QPS,recall
0.049675,201307.437597,0.489640
0.049131,203535.728085,0.552050
0.049310,202796.573100,0.618360
0.049961,200155.134039,0.676380
0.050596,197642.821334,0.731030
0.048592,205793.436286,0.773670
0.049448,202232.121716,0.808480
0.051110,195655.873365,0.836910
0.052292,191232.204094,0.858030
0.052929,188931.109993,0.873740
0.054227,184410.277633,0.887470
0.056300,177618.379354,0.898700
0.057820,172949.768014,0.908650
0.061439,162764.230166,0.917270
0.067456,148245.061120,0.924400
0.082326,121468.041518,0.930910
0.099895,100104.878454,0.936010
0.098393,101633.553422,0.939710
0.107374,93132.036499,0.943010
0.116808,85610.407371,0.945900
0.129327,77323.597301,0.947730
0.146945,68052.693613,0.949340
0.148171,67489.457297,0.950910
0.158402,63130.422643,0.952230
0.168189,59456.776823,0.953880
0.174926,57167.192036,0.955080
0.177786,56247.514037,0.955800
0.194538,51403.823817,0.956490
0.195812,51069.287684,0.957260
0.205531,48654.541758,0.957990
0.208295,48008.912024,0.958440
0.225620,44322.326183,0.958850
0.222531,44937.491902,0.959280
0.237150,42167.447248,0.959620
0.246024,40646.409379,0.959870
0.247111,40467.720944,0.960030
0.251102,39824.444279,0.960350
0.256610,38969.610042,0.960710
0.263954,37885.429946,0.961040
0.267646,37362.758159,0.961210
0.273157,36609.038958,0.961320
0.281279,35551.916424,0.961460
0.288267,34690.095534,0.961610
0.297057,33663.596310,0.961740
0.295546,33835.721890,0.961880
0.311772,32074.725482,0.962050
0.314948,31751.255949,0.962090
0.317227,31523.196975,0.962180
0.323452,30916.500173,0.962250
0.327023,30578.902925,0.962350
0.331784,30140.063168,0.962480
0.331491,30166.751101,0.962520
0.338371,29553.322874,0.962540
0.347109,28809.414789,0.962580
0.343586,29104.767139,0.962610
0.348937,28658.443563,0.962650
0.356781,28028.381524,0.962700
0.361414,27669.135038,0.962900
0.365765,27339.967227,0.962950
0.369240,27082.628881,0.962980
0.367420,27216.803373,0.963070
0.373636,26764.024331,0.963100
0.380676,26269.029320,0.963140
0.381699,26198.631699,0.963160
0.379909,26322.086122,0.963190
0.386988,25840.573707,0.963220
0.396065,25248.402055,0.963240
0.396763,25203.967054,0.963240
0.394474,25350.228534,0.963250
0.402796,24826.461172,0.963300
0.405534,24658.832244,0.963320
0.403600,24777.004660,0.963360
0.411318,24312.108562,0.963360
0.410663,24350.890994,0.963360
0.415412,24072.469295,0.963360
0.412208,24259.609911,0.963360
0.421001,23752.894922,0.963380
0.424285,23569.056925,0.963390
0.423139,23632.874078,0.963390
0.424745,23543.544858,0.963400
0.431239,23189.004819,0.963420
0.433842,23049.857986,0.963430
0.433598,23062.837967,0.963450
0.437833,22839.747074,0.963450
0.437463,22859.093969,0.963460
0.441330,22658.765306,0.963480
0.441035,22673.941912,0.963490
0.444508,22496.783653,0.963490
0.452454,22101.673900,0.963490
0.455020,21977.072721,0.963490
0.456498,21905.911164,0.963490
0.453943,22029.186688,0.963510
0.454779,21988.705131,0.963540
0.463038,21596.499757,0.963540
0.459218,21776.160000,0.963560
0.463987,21552.320002,0.963560
0.463135,21591.976233,0.963580
0.466877,21418.896491,0.963580
0.464592,21524.247888,0.963580
0.465546,21480.167686,0.963600
