search_time,QPS,recall
0.002438,4101480.369707,0.768560
0.002205,4534440.149157,0.788170
0.002283,4379817.947070,0.788610
0.002282,4382029.010171,0.789670
0.002295,4357647.700524,0.790370
0.002329,4293938.897634,0.791580
0.002314,4322388.093828,0.793370
0.002343,4267901.544774,0.795440
0.002368,4223601.108077,0.797510
0.002383,4196320.610715,0.799930
0.002394,4177304.735777,0.803090
0.002418,4136497.657106,0.805860
0.002442,4094869.843166,0.809160
0.002461,4063401.750691,0.812540
0.002495,4008362.932916,0.816560
0.002536,3943316.886348,0.821220
0.002558,3908888.704036,0.825900
0.002612,3828765.341699,0.831130
0.002665,3752176.340876,0.835790
0.002741,3647930.877851,0.841100
0.002774,3604632.273933,0.846320
0.002833,3530395.246169,0.851880
0.002963,3374402.067114,0.857290
0.003053,3275475.285760,0.863000
0.003119,3206443.526858,0.869130
0.003279,3049851.639743,0.875410
0.003436,2910306.579247,0.881420
0.003516,2844063.289532,0.887840
0.003648,2741059.718988,0.894530
0.003737,2676017.761167,0.900360
0.003846,2600266.177260,0.906800
0.004089,2445590.351216,0.913120
0.004202,2379719.524509,0.919050
0.004478,2232924.261960,0.924840
0.004850,2061753.464828,0.930940
0.005376,1860141.136198,0.936450
0.005636,1774459.151887,0.942330
0.006174,1619817.307354,0.947730
0.006674,1498297.856486,0.953100
0.007265,1376427.616598,0.957770
0.007796,1282756.472608,0.961900
0.008223,1216114.267023,0.965940
0.008629,1158879.734943,0.969640
0.009067,1102880.137817,0.973010
0.009880,1012188.323985,0.976100
0.010621,941489.066061,0.979290
0.011631,859782.533218,0.981720
0.012476,801561.572528,0.984070
0.013661,732014.679264,0.986230
0.015041,664845.532684,0.987880
0.015973,626061.805409,0.989490
0.016981,588880.418331,0.990880
0.017628,567284.449552,0.992030
0.018551,539043.093956,0.993000
0.019518,512344.616564,0.993680
0.020549,486631.247951,0.994430
0.021516,464777.305588,0.994950
0.022642,441655.542004,0.995590
0.023709,421776.929587,0.996040
0.024891,401754.098503,0.996340
0.026054,383823.622310,0.996650
0.027305,366226.976299,0.997030
0.028349,352749.013790,0.997180
0.029508,338893.348796,0.997420
0.030427,328650.888161,0.997570
0.031585,316603.178658,0.997650
0.032796,304919.397298,0.997780
0.033797,295882.916385,0.997940
0.034973,285931.276271,0.998010
0.035941,278233.591025,0.998040
0.037023,270102.555986,0.998110
0.044464,224902.025543,0.998500
0.047206,211836.126468,0.998730
0.049327,202727.775429,0.998830
0.050857,196631.407587,0.998870
0.053338,187482.866511,0.998910
0.054712,182774.085595,0.998920
0.055987,178613.473143,0.998950
0.056247,177785.824327,0.998950
0.056547,176843.315777,0.998950
0.057186,174869.102294,0.998950
0.056945,175606.986429,0.998960
0.057087,175172.383010,0.998960
0.057362,174332.170623,0.998970
