degree,beam,search_time,QPS,recall
64,10,0.001679,5954649.000000,0.765608
64,20,0.003370,2967373.250000,0.929525
64,30,0.005123,1952075.625000,0.964959
64,40,0.006743,1483045.875000,0.97882
64,50,0.008471,1180564.000000,0.98588
64,60,0.010234,977154.875000,0.98981
64,70,0.013069,765151.187500,0.99222
64,80,0.014933,669658.187500,0.99363
64,90,0.016780,595937.312500,0.99489
64,100,0.018570,538496.937500,0.99575
64,110,0.020314,492274.031250,0.99638
64,120,0.021951,455549.968750,0.99694
64,130,0.027017,370134.375000,0.9974
64,140,0.028964,345261.906250,0.99768
64,150,0.030943,323173.125000,0.99795
64,160,0.031662,315835.218750,0.99803
64,170,0.035123,284712.093750,0.99834
64,180,0.037148,269197.000000,0.99853
64,190,0.038248,261448.968750,0.99861
64,200,0.038572,259255.203125,0.998801
