degree,beam,search_time,QPS,recall
96,10,0.002805,356515.406250,0.5342
96,20,0.005536,180644.187500,0.7268
96,30,0.008245,121281.984375,0.807801
96,40,0.010602,94324.531250,0.851801
96,50,0.013281,75293.953125,0.881901
96,60,0.015897,62905.488281,0.899401
96,70,0.018202,54938.191406,0.915901
96,80,0.020644,48439.921875,0.925601
96,90,0.022993,43491.695312,0.934101
96,100,0.025438,39310.945312,0.941701
96,110,0.027639,36180.750000,0.946601
96,120,0.029907,33437.050781,0.950701
96,130,0.031790,31456.576172,0.954601
96,140,0.033960,29446.601562,0.958101
96,150,0.036141,27669.363281,0.960501
96,160,0.036714,27237.224609,0.960701
96,170,0.039818,25114.080078,0.966601
96,180,0.042018,23799.441406,0.968401
96,190,0.042735,23400.246094,0.969301
96,200,0.045900,21786.599609,0.971201
96,210,0.047876,20887.263672,0.972701
96,220,0.049168,20338.259766,0.973101
96,230,0.052062,19207.861328,0.975101
96,240,0.054256,18431.271484,0.976301
96,250,0.055843,17907.406250,0.977601
96,260,0.058161,17193.681641,0.979001
96,270,0.060220,16605.664062,0.979701
96,280,0.062290,16053.995117,0.980501
96,290,0.064216,15572.357422,0.981401
96,300,0.066280,15087.558594,0.981901
96,310,0.068528,14592.547852,0.982401
96,320,0.068650,14566.660156,0.982501
96,330,0.072388,13814.523438,0.983701
96,340,0.074557,13412.638672,0.984301
96,350,0.075086,13318.030273,0.984501
96,360,0.078240,12781.243164,0.985201
96,370,0.080109,12482.928711,0.985601
96,380,0.081465,12275.157227,0.985701
96,390,0.083669,11951.905273,0.986801
96,400,0.085735,11663.791016,0.987201
96,410,0.087391,11442.794922,0.987501
96,420,0.087462,11433.589844,0.9878
96,430,0.089591,11161.863281,0.988001
96,440,0.091395,10941.508789,0.988301
96,450,0.093180,10731.916992,0.9884
96,460,0.095321,10490.889648,0.9886
96,470,0.097035,10305.531250,0.9887
96,480,0.097681,10237.362305,0.9887
96,490,0.101004,9900.569336,0.9891
96,500,0.102659,9740.979492,0.9891
