degree,beam,search_time,QPS,recall
128,10,0.008674,1152919.625000,0.562988
128,20,0.017310,577710.937500,0.711913
128,30,0.025967,385110.218750,0.773082
128,40,0.033986,294235.625000,0.806392
128,50,0.042590,234795.765625,0.830652
128,60,0.050928,196357.125000,0.846823
128,70,0.059970,166751.328125,0.859644
128,80,0.068580,145814.625000,0.869764
128,90,0.076550,130633.335938,0.877614
128,100,0.084845,117861.367188,0.884824
128,110,0.092687,107889.945312,0.889893
128,120,0.100130,99870.351562,0.895404
128,130,0.111141,89975.625000,0.900344
128,140,0.119061,83990.203125,0.904773
128,150,0.127124,78663.046875,0.908293
128,160,0.129639,77137.031250,0.910004
128,170,0.142168,70339.289062,0.914504
128,180,0.150291,66537.406250,0.917325
128,190,0.153899,64977.679688,0.918865
128,200,0.165028,60595.824219,0.922405
128,210,0.172917,57831.289062,0.924585
128,220,0.178484,56027.363281,0.926406
128,230,0.188096,53164.269531,0.928816
128,240,0.195571,51132.406250,0.930756
128,250,0.202243,49445.449219,0.932146
128,260,0.208822,47887.695312,0.934146
128,270,0.216581,46172.074219,0.935866
128,280,0.223934,44655.921875,0.937527
128,290,0.231832,43134.707031,0.939097
128,300,0.239517,41750.746094,0.940716
128,310,0.247674,40375.679688,0.942227
128,320,0.249247,40120.890625,0.942716
128,330,0.262522,38092.117188,0.944526
128,340,0.270300,36995.906250,0.945627
128,350,0.273542,36557.492188,0.946277
128,360,0.285505,35025.707031,0.948067
128,370,0.293181,34108.582031,0.949207
128,380,0.298094,33546.515625,0.950067
128,390,0.303014,33001.812500,0.951367
128,400,0.310827,32172.238281,0.952307
128,410,0.316750,31570.658203,0.953077
128,420,0.324863,30782.207031,0.954097
128,430,0.332581,30067.875000,0.955097
128,440,0.339884,29421.796875,0.955947
128,450,0.346876,28828.785156,0.956807
128,460,0.355082,28162.490234,0.957518
128,470,0.362296,27601.726562,0.958368
128,480,0.363992,27473.128906,0.958658
128,490,0.376412,26566.621094,0.959878
128,500,0.384299,26021.406250,0.960498
