degree,beam,search_time,QPS,recall
72,10,0.004651,2148166.000000,0.656955
72,20,0.009349,1068638.375000,0.795519
72,30,0.014087,709218.937500,0.842823
72,40,0.017744,563064.625000,0.868807
72,50,0.022303,447972.281250,0.883701
72,60,0.026706,374111.812500,0.894181
72,70,0.030273,330035.375000,0.902738
72,80,0.034734,287642.562500,0.908132
72,90,0.038970,256374.296875,0.913357
72,100,0.043137,231610.781250,0.917771
72,110,0.047265,211384.531250,0.921735
72,120,0.051233,195012.875000,0.924808
72,130,0.054350,183827.640625,0.92742
72,140,0.058439,170965.609375,0.929652
72,150,0.062585,159639.312500,0.931674
72,160,0.064351,155257.562500,0.932905
72,170,0.069040,144712.937500,0.935348
72,180,0.073022,136820.906250,0.936659
72,190,0.075276,132724.390625,0.93776
72,200,0.080231,124527.273438,0.939692
72,210,0.084168,118703.750000,0.940933
72,220,0.087228,114538.359375,0.941994
72,230,0.091778,108860.453125,0.943696
72,240,0.095867,104217.601562,0.944887
72,250,0.099360,100553.804688,0.946018
72,260,0.101436,98495.203125,0.947179
72,270,0.105440,94755.085938,0.94837
72,280,0.109347,91369.671875,0.949321
72,290,0.112877,88512.656250,0.950382
72,300,0.116915,85455.101562,0.951303
72,310,0.120848,82674.062500,0.952154
72,320,0.122234,81736.656250,0.952574
72,330,0.128412,77804.062500,0.953856
72,340,0.132206,75571.265625,0.954466
72,350,0.134414,74329.976562,0.955027
72,360,0.140483,71119.101562,0.956107
72,370,0.144757,69019.054688,0.956738
72,380,0.147376,67792.617188,0.957219
72,390,0.152710,65424.761719,0.957929
72,400,0.156916,63671.125000,0.95882
72,410,0.160000,62443.750000,0.959401
72,420,0.160463,62263.636719,0.960152
72,430,0.164452,60753.164062,0.960812
72,440,0.168244,59384.000000,0.961273
72,450,0.172009,58084.312500,0.961763
72,460,0.176038,56754.828125,0.962324
72,470,0.180023,55498.371094,0.962794
72,480,0.181213,55133.957031,0.962884
72,490,0.187341,53330.613281,0.963555
72,500,0.191249,52240.687500,0.963965
