degree,beam,search_time,QPS,recall
64,10,0.002463,4060023.000000,0.536849
64,20,0.005458,1832275.000000,0.842097
64,30,0.008495,1177148.625000,0.915701
64,40,0.011210,892082.312500,0.946325
64,50,0.014167,705863.750000,0.962606
64,60,0.017149,583126.875000,0.972927
64,70,0.019813,504709.562500,0.979338
64,80,0.022745,439655.968750,0.983568
64,90,0.025710,388960.250000,0.986509
64,100,0.028194,354691.625000,0.988249
64,110,0.030842,324236.031250,0.989949
64,120,0.033480,298688.656250,0.991469
64,130,0.035635,280620.406250,0.9925
64,140,0.038286,261189.796875,0.99342
64,150,0.040928,244331.312500,0.99408
64,160,0.042398,235861.875000,0.99444
64,170,0.045731,218671.234375,0.99513
64,180,0.048336,206885.265625,0.99547
64,190,0.050300,198807.796875,0.99579
64,200,0.052652,189926.203125,0.99613
64,210,0.055246,181009.156250,0.9965
64,220,0.057565,173716.109375,0.99683
64,230,0.059860,167056.562500,0.99696
64,240,0.062496,160010.906250,0.99725
64,250,0.065020,153799.046875,0.99738
64,260,0.067921,147230.078125,0.99759
64,270,0.070481,141882.093750,0.99776
64,280,0.073241,136536.328125,0.99796
64,290,0.075028,133282.828125,0.99808
64,300,0.077741,128632.156250,0.99814
