recall,nlist,pq_m,build_time,nproble,search_time,QPS
0.448231,1024,24,0.943277,1,0.157659,63427.980469
0.616786,1024,24,0.943277,2,0.089707,111474.367188
0.709422,1024,24,0.943277,3,0.089035,112315.695312
0.768710,1024,24,0.943277,4,0.089156,112163.265625
0.809879,1024,24,0.943277,5,0.090692,110263.539062
0.838830,1024,24,0.943277,6,0.088383,113144.500000
0.879272,1024,24,0.943277,8,0.089731,111444.109375
0.893272,1024,24,0.943277,9,0.089177,112136.429688
0.904873,1024,24,0.943277,10,0.090144,110933.929688
0.941485,1024,24,0.943277,15,0.092986,107542.648438
0.960147,1024,24,0.943277,20,0.099758,100242.445312
0.970299,1024,24,0.943277,25,0.097102,102984.546875
0.976879,1024,24,0.943277,30,0.102333,97719.765625
0.981520,1024,24,0.943277,35,0.103771,96366.062500
0.984770,1024,24,0.943277,40,0.108895,91831.304688
0.987150,1024,24,0.943277,45,0.107348,93155.062500
0.989100,1024,24,0.943277,50,0.108575,92102.468750
0.992010,1024,24,0.943277,60,0.114459,87367.812500
0.993760,1024,24,0.943277,70,0.124233,80494.101562
0.994830,1024,24,0.943277,80,0.122983,81311.773438
0.995760,1024,24,0.943277,90,0.126221,79226.101562
0.996320,1024,24,0.943277,100,0.131633,75968.703125
0.997130,1024,24,0.943277,120,0.138847,72021.601562
0.997550,1024,24,0.943277,140,0.147728,67691.796875
0.997880,1024,24,0.943277,160,0.162207,61649.726562
0.998010,1024,24,0.943277,180,0.166464,60073.140625
0.998130,1024,24,0.943277,200,0.177411,56366.269531
