recall,nlist,pq_m,build_time,nproble,search_time,QPS
0.181100,2048,96,5.537333,1,0.127613,7836.198242
0.283900,2048,96,5.537333,2,0.018991,52656.234375
0.353200,2048,96,5.537333,3,0.015035,66509.742188
0.410000,2048,96,5.537333,4,0.014784,67639.226562
0.456200,2048,96,5.537333,5,0.014975,66778.070312
0.491100,2048,96,5.537333,6,0.014708,67991.539062
0.556600,2048,96,5.537333,8,0.016055,62284.125000
0.580400,2048,96,5.537333,9,0.016774,59615.562500
0.603400,2048,96,5.537333,10,0.016915,59118.085938
0.685500,2048,96,5.537333,15,0.018821,53131.804688
0.742601,2048,96,5.537333,20,0.019480,51333.859375
0.782001,2048,96,5.537333,25,0.021418,46689.734375
0.810800,2048,96,5.537333,30,0.023160,43178.250000
0.836000,2048,96,5.537333,35,0.024348,41071.730469
0.858801,2048,96,5.537333,40,0.029005,34477.050781
0.874301,2048,96,5.537333,45,0.027909,35830.582031
0.888501,2048,96,5.537333,50,0.029340,34083.574219
0.910601,2048,96,5.537333,60,0.032564,30708.548828
0.923902,2048,96,5.537333,70,0.035751,27971.464844
0.935202,2048,96,5.537333,80,0.039762,25149.691406
0.945202,2048,96,5.537333,90,0.043254,23119.376953
0.951902,2048,96,5.537333,100,0.046642,21439.822266
0.961802,2048,96,5.537333,120,0.054825,18239.953125
0.967801,2048,96,5.537333,140,0.061083,16371.053711
0.972701,2048,96,5.537333,160,0.070217,14241.470703
0.975501,2048,96,5.537333,180,0.075239,13290.944336
0.977201,2048,96,5.537333,200,0.082865,12067.799805
