recall,nlist,pq_m,build_time,nproble,search_time,QPS
0.347322,2048,50,1.423784,1,0.150245,66558.140625
0.475311,2048,50,1.423784,2,0.092308,108332.414062
0.543999,2048,50,1.423784,3,0.095728,104462.125000
0.590538,2048,50,1.423784,4,0.097226,102853.429688
0.624416,2048,50,1.423784,5,0.098220,101812.218750
0.651514,2048,50,1.423784,6,0.103125,96969.703125
0.692112,2048,50,1.423784,8,0.105940,94393.085938
0.706882,2048,50,1.423784,9,0.101584,98440.796875
0.719941,2048,50,1.423784,10,0.103266,96837.007812
0.766690,2048,50,1.423784,15,0.108759,91946.382812
0.797040,2048,50,1.423784,20,0.113926,87776.164062
0.818220,2048,50,1.423784,25,0.120448,83023.375000
0.834310,2048,50,1.423784,30,0.124812,80120.765625
0.847251,2048,50,1.423784,35,0.131786,75880.726562
0.858442,2048,50,1.423784,40,0.133782,74748.750000
0.867852,2048,50,1.423784,45,0.139252,71812.421875
0.875772,2048,50,1.423784,50,0.143732,69574.078125
0.888172,2048,50,1.423784,60,0.152660,65504.917969
0.897992,2048,50,1.423784,70,0.158226,63200.566406
0.905753,2048,50,1.423784,80,0.167012,59875.808594
0.912444,2048,50,1.423784,90,0.173766,57548.746094
0.918295,2048,50,1.423784,100,0.182822,54698.082031
0.927635,2048,50,1.423784,120,0.195539,51140.710938
0.934676,2048,50,1.423784,140,0.211466,47288.847656
0.940725,2048,50,1.423784,160,0.223227,44797.441406
0.945635,2048,50,1.423784,180,0.239439,41764.316406
0.949885,2048,50,1.423784,200,0.251492,39762.640625
