recall,nlist,pq_m,build_time,nproble,search_time,QPS
0.477391,256,48,0.838847,1,0.155415,64285.785156
0.565259,256,48,0.838847,2,0.085591,116729.507812
0.606766,256,48,0.838847,3,0.088886,112402.062500
0.634769,256,48,0.838847,4,0.087297,114448.054688
0.654907,256,48,0.838847,5,0.087620,114026.773438
0.671351,256,48,0.838847,6,0.088692,112648.710938
0.696292,256,48,0.838847,8,0.091089,109684.054688
0.707301,256,48,0.838847,9,0.092402,108125.750000
0.715928,256,48,0.838847,10,0.093021,107405.640625
0.750837,256,48,0.838847,15,0.099286,100628.703125
0.776699,256,48,0.838847,20,0.102819,97171.148438
0.795576,256,48,0.838847,25,0.107899,92595.867188
0.810238,256,48,0.838847,30,0.112365,88915.945312
0.823629,256,48,0.838847,35,0.116665,85638.117188
0.835161,256,48,0.838847,40,0.121333,82343.765625
0.845480,256,48,0.838847,45,0.125499,79609.953125
0.854659,256,48,0.838847,50,0.129871,76930.203125
0.869433,256,48,0.838847,60,0.139096,71828.054688
0.881554,256,48,0.838847,70,0.147518,67727.187500
0.891974,256,48,0.838847,80,0.156316,63915.550781
0.901003,256,48,0.838847,90,0.166297,60079.410156
0.908680,256,48,0.838847,100,0.173590,57555.320312
0.922073,256,48,0.838847,120,0.190764,52373.648438
0.932552,256,48,0.838847,140,0.208849,47838.457031
0.940941,256,48,0.838847,160,0.224917,44420.890625
0.947957,256,48,0.838847,180,0.241835,41313.289062
0.953484,256,48,0.838847,200,0.260342,38376.476562
