recall,nlist,pq_m,build_time,nproble,search_time,QPS
0.355701,4096,32,7.944591,1,0.137147,72914.257812
0.511670,4096,32,7.944591,2,0.090212,110849.484375
0.606257,4096,32,7.944591,3,0.090721,110227.718750
0.669605,4096,32,7.944591,4,0.090830,110096.195312
0.716124,4096,32,7.944591,5,0.090450,110558.414062
0.752492,4096,32,7.944591,6,0.092307,108333.609375
0.802529,4096,32,7.944591,8,0.094805,105479.789062
0.822328,4096,32,7.944591,9,0.092626,107961.281250
0.838168,4096,32,7.944591,10,0.093052,107467.054688
0.892081,4096,32,7.944591,15,0.096081,104078.820312
0.922172,4096,32,7.944591,20,0.100142,99858.085938
0.940975,4096,32,7.944591,25,0.102430,97627.937500
0.952646,4096,32,7.944591,30,0.105929,94403.117188
0.961737,4096,32,7.944591,35,0.109734,91129.390625
0.968058,4096,32,7.944591,40,0.113144,88383.226562
0.973408,4096,32,7.944591,45,0.115139,86851.875000
0.977528,4096,32,7.944591,50,0.117613,85024.945312
0.983468,4096,32,7.944591,60,0.123941,80683.640625
0.987448,4096,32,7.944591,70,0.130296,76748.437500
0.989658,4096,32,7.944591,80,0.137062,72959.468750
0.991619,4096,32,7.944591,90,0.145665,68650.585938
0.993139,4096,32,7.944591,100,0.148570,67308.281250
0.994960,4096,32,7.944591,120,0.160550,62285.937500
0.996150,4096,32,7.944591,140,0.171617,58269.187500
0.996900,4096,32,7.944591,160,0.184563,54182.058594
0.997500,4096,32,7.944591,180,0.195695,51099.976562
0.997910,4096,32,7.944591,200,0.207984,48080.710938
recall,nlist,pq_m,build_time,nproble,search_time,QPS
0.000000,4096,32,7.805474,1,0.175489,56983.621094
0.000000,4096,32,7.805474,2,0.090191,110876.109375
0.000000,4096,32,7.805474,3,0.090590,110387.203125
0.000000,4096,32,7.805474,4,0.090698,110256.343750
0.000000,4096,32,7.805474,5,0.095120,105129.937500
0.000000,4096,32,7.805474,6,0.095587,104616.585938
0.000000,4096,32,7.805474,8,0.096399,103735.367188
0.000000,4096,32,7.805474,9,0.093214,107280.414062
0.000000,4096,32,7.805474,10,0.094131,106234.554688
0.000000,4096,32,7.805474,15,0.101285,98731.429688
0.000000,4096,32,7.805474,20,0.104325,95854.367188
0.000000,4096,32,7.805474,25,0.108015,92580.078125
0.000000,4096,32,7.805474,30,0.107045,93418.773438
0.000000,4096,32,7.805474,35,0.110894,90176.132812
0.000000,4096,32,7.805474,40,0.118078,84689.656250
0.000000,4096,32,7.805474,45,0.116083,86145.484375
0.000000,4096,32,7.805474,50,0.123570,80925.679688
0.000000,4096,32,7.805474,60,0.125195,79875.203125
0.000000,4096,32,7.805474,70,0.132070,75717.203125
0.000000,4096,32,7.805474,80,0.141813,70515.531250
0.000000,4096,32,7.805474,90,0.148171,67489.710938
0.000000,4096,32,7.805474,100,0.150558,66419.718750
0.000000,4096,32,7.805474,120,0.162771,61436.023438
0.000000,4096,32,7.805474,140,0.180474,55409.683594
0.000000,4096,32,7.805474,160,0.191619,52186.867188
0.000000,4096,32,7.805474,180,0.203854,49054.761719
0.000000,4096,32,7.805474,200,0.211770,47221.152344
