search_time,QPS,recall
0.610287,16385.7268,0.76873
0.925225,10808.18407,0.87969
1.493066,6697.625978,0.94822
2.271141,4403.073169,0.97658
3.329977,3003.023606,0.98854
4.650612,2150.254567,0.99387
6.366765,1570.656403,0.99629
7.800656,1281.943424,0.99775
9.753297,1025.294272,0.99848
11.574572,863.962839,0.99906
13.897691,719.543963,0.99934
16.628083,601.392246,0.99949
19.009902,526.041645,0.99958
22.117861,452.123278,0.99964
25.79299,387.702239,0.9997
28.942077,345.517699,0.9997
32.7279,305.549699,0.99973
36.485667,274.080232,0.99972
39.970657,250.183528,0.99975
45.108803,221.686219,0.9998
