search_time,QPS,recall
0.284484,3515.139809,0.4932
0.443208,2256.277711,0.6347
0.703047,1422.37938,0.7664
1.107045,903.305626,0.8591
1.622531,616.321138,0.9156
2.248269,444.786586,0.9476
2.981429,335.409671,0.9653
3.751197,266.581548,0.976
4.667428,214.250759,0.9831
5.586902,178.990079,0.9867
6.756318,148.009622,0.9906
7.606899,131.45962,0.9925
8.791707,113.743555,0.9937
10.304015,97.049544,0.995
11.060227,90.414057,0.9954
12.291344,81.358068,0.9962
13.928715,71.794134,0.9963
15.4254,64.828142,0.9964
16.955451,58.978082,0.9969
18.388842,54.380805,0.9971
20.118817,49.704712,0.9975
21.611787,46.271046,0.9975
23.685178,42.220497,0.9977
25.317272,39.498727,0.9978
26.939211,37.120611,0.9979
28.888916,34.615352,0.998
30.945954,32.314402,0.998
33.358569,29.977305,0.9982
35.553934,28.126282,0.9984
37.908087,26.379596,0.9985
40.581348,24.641862,0.9985
42.995622,23.258182,0.9986
45.731708,21.866667,0.9984
48.603574,20.574619,0.9986
51.662122,19.356541,0.9989
54.770644,18.257956,0.9989
58.337266,17.141701,0.9989
