search_time,QPS,recall
1.642466,6088.404987,0.540790
2.637935,3790.843433,0.663450
4.374796,2285.820966,0.759010
8.746457,1143.320071,0.814440
10.714930,933.277238,0.852320
14.874907,672.273115,0.877960
18.928142,528.313869,0.897590
24.233514,412.651672,0.912000
30.427442,328.650699,0.924160
37.812360,264.463786,0.934290
45.259032,220.950374,0.942780
52.750670,189.571053,0.949740
63.115304,158.440179,0.956200
73.473003,136.104413,0.961870
84.984035,117.669160,0.966590
95.669693,104.526310,0.970400
109.078389,91.677188,0.973530
117.472790,85.126096,0.976420
131.226708,76.204000,0.979540
145.941097,68.520795,0.981780
