search_time,QPS,recall
1.134595,8805.782274,0.675898
1.799581,5551.846733,0.787589
3.001681,3328.468772,0.851636
4.725913,2114.088859,0.883695
6.993530,1428.606117,0.903163
9.900785,1009.111930,0.917035
13.329878,749.519225,0.926904
17.122914,583.487129,0.935902
21.774007,458.849849,0.943179
26.896225,371.464766,0.949985
32.639114,306.105127,0.955460
39.591656,252.351152,0.959473
46.916101,212.954610,0.963547
55.066603,181.434836,0.966450
63.695823,156.854870,0.969713
72.835889,137.171389,0.972215
82.942926,120.456324,0.974147
94.354685,105.887694,0.976028
105.610303,94.602512,0.977380
117.224608,85.229545,0.978511
130.606223,76.497120,0.979461
143.768899,69.493472,0.980372
157.135062,63.582245,0.981383
172.778779,57.825388,0.981724
189.319009,52.773359,0.982644
205.873890,48.529709,0.983085
222.053464,44.993669,0.983615
