search_time,QPS,recall
1.486808,6725.816895,0.670060
1.942293,5148.552604,0.803550
2.873679,3479.859751,0.902590
4.193408,2384.695400,0.952800
5.908160,1692.574423,0.975690
8.247770,1212.448951,0.986800
10.786389,927.094335,0.992400
13.648518,732.680257,0.995570
16.397656,609.843262,0.997160
20.429542,489.487245,0.998070
24.333875,410.949749,0.998700
39.172018,255.284269,0.999060
35.511065,281.602370,0.999210
41.738328,239.587939,0.999370
48.311986,206.987971,0.999490
54.665020,182.932340,0.999650
61.024021,163.869898,0.999710
68.348231,146.309566,0.999780
76.930827,129.986903,0.999800
84.369143,118.526746,0.999890
